company_role_key,permission_key,configuration
k6test-buyer-006,SeeCompanyMenuPermissionPlugin,
k6test-buyer-006,SeeCompanyUsersPermissionPlugin,
k6test-buyer-006,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-006,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-006,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-007,AddCartItemPermissionPlugin,
k6test-buyer-007,ChangeCartItemPermissionPlugin,
k6test-buyer-007,RemoveCartItemPermissionPlugin,
k6test-buyer-007,SeeCompanyMenuPermissionPlugin,
k6test-buyer-007,SeeCompanyUsersPermissionPlugin,
k6test-buyer-007,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-007,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-007,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-008,AddCartItemPermissionPlugin,
k6test-buyer-008,ChangeCartItemPermissionPlugin,
k6test-buyer-008,RemoveCartItemPermissionPlugin,
k6test-buyer-008,SeeCompanyMenuPermissionPlugin,
k6test-buyer-008,SeeCompanyUsersPermissionPlugin,
k6test-buyer-008,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-008,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-008,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-009,AddCartItemPermissionPlugin,
k6test-buyer-009,ChangeCartItemPermissionPlugin,
k6test-buyer-009,RemoveCartItemPermissionPlugin,
k6test-buyer-009,SeeCompanyMenuPermissionPlugin,
k6test-buyer-009,SeeCompanyUsersPermissionPlugin,
k6test-buyer-009,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-009,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-009,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-010,AddCartItemPermissionPlugin,
k6test-buyer-010,ChangeCartItemPermissionPlugin,
k6test-buyer-010,RemoveCartItemPermissionPlugin,
k6test-buyer-010,SeeCompanyMenuPermissionPlugin,
k6test-buyer-010,SeeCompanyUsersPermissionPlugin,
k6test-buyer-010,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-010,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-010,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-011,AddCartItemPermissionPlugin,
k6test-buyer-011,ChangeCartItemPermissionPlugin,
k6test-buyer-011,RemoveCartItemPermissionPlugin,
k6test-buyer-011,SeeCompanyMenuPermissionPlugin,
k6test-buyer-011,SeeCompanyUsersPermissionPlugin,
k6test-buyer-011,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-011,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-011,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-012,AddCartItemPermissionPlugin,
k6test-buyer-012,ChangeCartItemPermissionPlugin,
k6test-buyer-012,RemoveCartItemPermissionPlugin,
k6test-buyer-012,SeeCompanyMenuPermissionPlugin,
k6test-buyer-012,SeeCompanyUsersPermissionPlugin,
k6test-buyer-012,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-012,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-012,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-013,AddCartItemPermissionPlugin,
k6test-buyer-013,ChangeCartItemPermissionPlugin,
k6test-buyer-013,RemoveCartItemPermissionPlugin,
k6test-buyer-013,SeeCompanyMenuPermissionPlugin,
k6test-buyer-013,SeeCompanyUsersPermissionPlugin,
k6test-buyer-013,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-013,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-013,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-014,AddCartItemPermissionPlugin,
k6test-buyer-014,ChangeCartItemPermissionPlugin,
k6test-buyer-014,RemoveCartItemPermissionPlugin,
k6test-buyer-014,SeeCompanyMenuPermissionPlugin,
k6test-buyer-014,SeeCompanyUsersPermissionPlugin,
k6test-buyer-014,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-014,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-014,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-015,AddCartItemPermissionPlugin,
k6test-buyer-015,ChangeCartItemPermissionPlugin,
k6test-buyer-015,RemoveCartItemPermissionPlugin,
k6test-buyer-015,SeeCompanyMenuPermissionPlugin,
k6test-buyer-015,SeeCompanyUsersPermissionPlugin,
k6test-buyer-015,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-015,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-015,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-016,AddCartItemPermissionPlugin,
k6test-buyer-016,ChangeCartItemPermissionPlugin,
k6test-buyer-016,RemoveCartItemPermissionPlugin,
k6test-buyer-016,SeeCompanyMenuPermissionPlugin,
k6test-buyer-016,SeeCompanyUsersPermissionPlugin,
k6test-buyer-016,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-016,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-016,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-017,AddCartItemPermissionPlugin,
k6test-buyer-017,ChangeCartItemPermissionPlugin,
k6test-buyer-017,RemoveCartItemPermissionPlugin,
k6test-buyer-017,SeeCompanyMenuPermissionPlugin,
k6test-buyer-017,SeeCompanyUsersPermissionPlugin,
k6test-buyer-017,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-017,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-017,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-018,AddCartItemPermissionPlugin,
k6test-buyer-018,ChangeCartItemPermissionPlugin,
k6test-buyer-018,RemoveCartItemPermissionPlugin,
k6test-buyer-018,SeeCompanyMenuPermissionPlugin,
k6test-buyer-018,SeeCompanyUsersPermissionPlugin,
k6test-buyer-018,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-018,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-018,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-019,AddCartItemPermissionPlugin,
k6test-buyer-019,ChangeCartItemPermissionPlugin,
k6test-buyer-019,RemoveCartItemPermissionPlugin,
k6test-buyer-019,SeeCompanyMenuPermissionPlugin,
k6test-buyer-019,SeeCompanyUsersPermissionPlugin,
k6test-buyer-019,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-019,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-019,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-020,AddCartItemPermissionPlugin,
k6test-buyer-020,ChangeCartItemPermissionPlugin,
k6test-buyer-020,RemoveCartItemPermissionPlugin,
k6test-buyer-020,SeeCompanyMenuPermissionPlugin,
k6test-buyer-020,SeeCompanyUsersPermissionPlugin,
k6test-buyer-020,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-020,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-020,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-021,AddCartItemPermissionPlugin,
k6test-buyer-021,ChangeCartItemPermissionPlugin,
k6test-buyer-021,RemoveCartItemPermissionPlugin,
k6test-buyer-021,SeeCompanyMenuPermissionPlugin,
k6test-buyer-021,SeeCompanyUsersPermissionPlugin,
k6test-buyer-021,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-021,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-021,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-022,AddCartItemPermissionPlugin,
k6test-buyer-022,ChangeCartItemPermissionPlugin,
k6test-buyer-022,RemoveCartItemPermissionPlugin,
k6test-buyer-022,SeeCompanyMenuPermissionPlugin,
k6test-buyer-022,SeeCompanyUsersPermissionPlugin,
k6test-buyer-022,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-022,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-022,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-023,AddCartItemPermissionPlugin,
k6test-buyer-023,ChangeCartItemPermissionPlugin,
k6test-buyer-023,RemoveCartItemPermissionPlugin,
k6test-buyer-023,SeeCompanyMenuPermissionPlugin,
k6test-buyer-023,SeeCompanyUsersPermissionPlugin,
k6test-buyer-023,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-023,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-023,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-024,AddCartItemPermissionPlugin,
k6test-buyer-024,ChangeCartItemPermissionPlugin,
k6test-buyer-024,RemoveCartItemPermissionPlugin,
k6test-buyer-024,SeeCompanyMenuPermissionPlugin,
k6test-buyer-024,SeeCompanyUsersPermissionPlugin,
k6test-buyer-024,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-024,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-024,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-025,AddCartItemPermissionPlugin,
k6test-buyer-025,ChangeCartItemPermissionPlugin,
k6test-buyer-025,RemoveCartItemPermissionPlugin,
k6test-buyer-025,SeeCompanyMenuPermissionPlugin,
k6test-buyer-025,SeeCompanyUsersPermissionPlugin,
k6test-buyer-025,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-025,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-025,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-026,AddCartItemPermissionPlugin,
k6test-buyer-026,ChangeCartItemPermissionPlugin,
k6test-buyer-026,RemoveCartItemPermissionPlugin,
k6test-buyer-026,SeeCompanyMenuPermissionPlugin,
k6test-buyer-026,SeeCompanyUsersPermissionPlugin,
k6test-buyer-026,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-026,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-026,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-027,AddCartItemPermissionPlugin,
k6test-buyer-027,ChangeCartItemPermissionPlugin,
k6test-buyer-027,RemoveCartItemPermissionPlugin,
k6test-buyer-027,SeeCompanyMenuPermissionPlugin,
k6test-buyer-027,SeeCompanyUsersPermissionPlugin,
k6test-buyer-027,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-027,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-027,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-028,AddCartItemPermissionPlugin,
k6test-buyer-028,ChangeCartItemPermissionPlugin,
k6test-buyer-028,RemoveCartItemPermissionPlugin,
k6test-buyer-028,SeeCompanyMenuPermissionPlugin,
k6test-buyer-028,SeeCompanyUsersPermissionPlugin,
k6test-buyer-028,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-028,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-028,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-029,AddCartItemPermissionPlugin,
k6test-buyer-029,ChangeCartItemPermissionPlugin,
k6test-buyer-029,RemoveCartItemPermissionPlugin,
k6test-buyer-029,SeeCompanyMenuPermissionPlugin,
k6test-buyer-029,SeeCompanyUsersPermissionPlugin,
k6test-buyer-029,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-029,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-029,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-030,AddCartItemPermissionPlugin,
k6test-buyer-030,ChangeCartItemPermissionPlugin,
k6test-buyer-030,RemoveCartItemPermissionPlugin,
k6test-buyer-030,SeeCompanyMenuPermissionPlugin,
k6test-buyer-030,SeeCompanyUsersPermissionPlugin,
k6test-buyer-030,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-030,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-030,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-031,AddCartItemPermissionPlugin,
k6test-buyer-031,ChangeCartItemPermissionPlugin,
k6test-buyer-031,RemoveCartItemPermissionPlugin,
k6test-buyer-031,SeeCompanyMenuPermissionPlugin,
k6test-buyer-031,SeeCompanyUsersPermissionPlugin,
k6test-buyer-031,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-031,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-031,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-032,AddCartItemPermissionPlugin,
k6test-buyer-032,ChangeCartItemPermissionPlugin,
k6test-buyer-032,RemoveCartItemPermissionPlugin,
k6test-buyer-032,SeeCompanyMenuPermissionPlugin,
k6test-buyer-032,SeeCompanyUsersPermissionPlugin,
k6test-buyer-032,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-032,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-032,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-033,AddCartItemPermissionPlugin,
k6test-buyer-033,ChangeCartItemPermissionPlugin,
k6test-buyer-033,RemoveCartItemPermissionPlugin,
k6test-buyer-033,SeeCompanyMenuPermissionPlugin,
k6test-buyer-033,SeeCompanyUsersPermissionPlugin,
k6test-buyer-033,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-033,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-033,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-034,AddCartItemPermissionPlugin,
k6test-buyer-034,ChangeCartItemPermissionPlugin,
k6test-buyer-034,RemoveCartItemPermissionPlugin,
k6test-buyer-034,SeeCompanyMenuPermissionPlugin,
k6test-buyer-034,SeeCompanyUsersPermissionPlugin,
k6test-buyer-034,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-034,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-034,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-035,AddCartItemPermissionPlugin,
k6test-buyer-035,ChangeCartItemPermissionPlugin,
k6test-buyer-035,RemoveCartItemPermissionPlugin,
k6test-buyer-035,SeeCompanyMenuPermissionPlugin,
k6test-buyer-035,SeeCompanyUsersPermissionPlugin,
k6test-buyer-035,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-035,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-035,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-036,AddCartItemPermissionPlugin,
k6test-buyer-036,ChangeCartItemPermissionPlugin,
k6test-buyer-036,RemoveCartItemPermissionPlugin,
k6test-buyer-036,SeeCompanyMenuPermissionPlugin,
k6test-buyer-036,SeeCompanyUsersPermissionPlugin,
k6test-buyer-036,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-036,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-036,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-037,AddCartItemPermissionPlugin,
k6test-buyer-037,ChangeCartItemPermissionPlugin,
k6test-buyer-037,RemoveCartItemPermissionPlugin,
k6test-buyer-037,SeeCompanyMenuPermissionPlugin,
k6test-buyer-037,SeeCompanyUsersPermissionPlugin,
k6test-buyer-037,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-037,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-037,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-038,AddCartItemPermissionPlugin,
k6test-buyer-038,ChangeCartItemPermissionPlugin,
k6test-buyer-038,RemoveCartItemPermissionPlugin,
k6test-buyer-038,SeeCompanyMenuPermissionPlugin,
k6test-buyer-038,SeeCompanyUsersPermissionPlugin,
k6test-buyer-038,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-038,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-038,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-039,AddCartItemPermissionPlugin,
k6test-buyer-039,ChangeCartItemPermissionPlugin,
k6test-buyer-039,RemoveCartItemPermissionPlugin,
k6test-buyer-039,SeeCompanyMenuPermissionPlugin,
k6test-buyer-039,SeeCompanyUsersPermissionPlugin,
k6test-buyer-039,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-039,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-039,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-040,AddCartItemPermissionPlugin,
k6test-buyer-040,ChangeCartItemPermissionPlugin,
k6test-buyer-040,RemoveCartItemPermissionPlugin,
k6test-buyer-040,SeeCompanyMenuPermissionPlugin,
k6test-buyer-040,SeeCompanyUsersPermissionPlugin,
k6test-buyer-040,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-040,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-040,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-041,AddCartItemPermissionPlugin,
k6test-buyer-041,ChangeCartItemPermissionPlugin,
k6test-buyer-041,RemoveCartItemPermissionPlugin,
k6test-buyer-041,SeeCompanyMenuPermissionPlugin,
k6test-buyer-041,SeeCompanyUsersPermissionPlugin,
k6test-buyer-041,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-041,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-041,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-042,AddCartItemPermissionPlugin,
k6test-buyer-042,ChangeCartItemPermissionPlugin,
k6test-buyer-042,RemoveCartItemPermissionPlugin,
k6test-buyer-042,SeeCompanyMenuPermissionPlugin,
k6test-buyer-042,SeeCompanyUsersPermissionPlugin,
k6test-buyer-042,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-042,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-042,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-043,AddCartItemPermissionPlugin,
k6test-buyer-043,ChangeCartItemPermissionPlugin,
k6test-buyer-043,RemoveCartItemPermissionPlugin,
k6test-buyer-043,SeeCompanyMenuPermissionPlugin,
k6test-buyer-043,SeeCompanyUsersPermissionPlugin,
k6test-buyer-043,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-043,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-043,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-044,AddCartItemPermissionPlugin,
k6test-buyer-044,ChangeCartItemPermissionPlugin,
k6test-buyer-044,RemoveCartItemPermissionPlugin,
k6test-buyer-044,SeeCompanyMenuPermissionPlugin,
k6test-buyer-044,SeeCompanyUsersPermissionPlugin,
k6test-buyer-044,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-044,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-044,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-045,AddCartItemPermissionPlugin,
k6test-buyer-045,ChangeCartItemPermissionPlugin,
k6test-buyer-045,RemoveCartItemPermissionPlugin,
k6test-buyer-045,SeeCompanyMenuPermissionPlugin,
k6test-buyer-045,SeeCompanyUsersPermissionPlugin,
k6test-buyer-045,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-045,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-045,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-046,AddCartItemPermissionPlugin,
k6test-buyer-046,ChangeCartItemPermissionPlugin,
k6test-buyer-046,RemoveCartItemPermissionPlugin,
k6test-buyer-046,SeeCompanyMenuPermissionPlugin,
k6test-buyer-046,SeeCompanyUsersPermissionPlugin,
k6test-buyer-046,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-046,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-046,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-047,AddCartItemPermissionPlugin,
k6test-buyer-047,ChangeCartItemPermissionPlugin,
k6test-buyer-047,RemoveCartItemPermissionPlugin,
k6test-buyer-047,SeeCompanyMenuPermissionPlugin,
k6test-buyer-047,SeeCompanyUsersPermissionPlugin,
k6test-buyer-047,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-047,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-047,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-048,AddCartItemPermissionPlugin,
k6test-buyer-048,ChangeCartItemPermissionPlugin,
k6test-buyer-048,RemoveCartItemPermissionPlugin,
k6test-buyer-048,SeeCompanyMenuPermissionPlugin,
k6test-buyer-048,SeeCompanyUsersPermissionPlugin,
k6test-buyer-048,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-048,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-048,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-049,AddCartItemPermissionPlugin,
k6test-buyer-049,ChangeCartItemPermissionPlugin,
k6test-buyer-049,RemoveCartItemPermissionPlugin,
k6test-buyer-049,SeeCompanyMenuPermissionPlugin,
k6test-buyer-049,SeeCompanyUsersPermissionPlugin,
k6test-buyer-049,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-049,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-049,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
k6test-buyer-050,AddCartItemPermissionPlugin,
k6test-buyer-050,ChangeCartItemPermissionPlugin,
k6test-buyer-050,RemoveCartItemPermissionPlugin,
k6test-buyer-050,SeeCompanyMenuPermissionPlugin,
k6test-buyer-050,SeeCompanyUsersPermissionPlugin,
k6test-buyer-050,SeeBusinessUnitOrdersPermissionPlugin,
k6test-buyer-050,PlaceOrderPermissionPlugin,"{}"
k6test-buyer-050,PlaceOrderWithAmountUpToPermissionPlugin,"{""id_quote"":null,""cent_amount"":99999999999}"
